"Part";"Value";"Device";"Package";"Description";"";
"C2";"";"C-USC2012";"C2012";"CAPACITOR, American symbol";"";
"H1";"ESQ-125-XX-X-D";"ESQ-125-XX-X-D";"ESQ-125-XX-X-D";"ELEVATED SOCKET, .100 inch(2.54mm) PITCH";"";
"H2";"ESQ-125-XX-X-D";"ESQ-125-XX-X-D";"ESQ-125-XX-X-D";"ELEVATED SOCKET, .100 inch(2.54mm) PITCH";"";
"R3";"";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R4";"";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R8";"";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R9";"";"R-US_R2012";"R2012";"RESISTOR, American symbol";"";
"R10";"THERMISTOR-2,5";"THERMISTOR-2,5";"RS-2,5";"THERMISTOR";"";
"U$1";"M80-866XXXX";"M80-866XXXX";"M80-866XXXX";"";"";
"U$3";"M80-866XXXX";"M80-866XXXX";"M80-866XXXX";"";"";
"U$8";"MAX3233";"MAX3233";"SO20L";"";"";
